,importance
FC2_delta_power,0.0012848906639636247
FC2_delta_rel_power,0.0012700594411182526
OZ_gamma_power,0.0012660940396557008
C2_quartile_3,0.0012643510604338046
C6_quartile_1,0.001261286974708339
CP5_gamma_rel_power,0.0012553627598701695
O1_std,0.0012454921781293454
PO1_gamma_rel_power,0.0012320099281997656
O2_std,0.00122727676694202
P3_ptp,0.0012260655235445965
F3_gamma_power,0.001224540778419413
AFZ_quartile_1,0.0012223091039667842
CP6_std,0.0012213170398700554
AFZ_alpha_rel_power,0.0012184032369370892
CPZ_ptp,0.0012177043424995086
F2_theta_power,0.0012130785535597786
CP6_theta_power,0.0012122226143606333
F3_theta_power,0.0012075761298454876
F8_theta_rel_power,0.001202881625864346
F4_gamma_power,0.0012017525931871866
C6_delta_power,0.001201312239466396
C1_max,0.0011864122203751775
F8_theta_power,0.0011860487450623138
FC1_alpha_rel_power,0.0011850055511433907
P1_gamma_rel_power,0.0011674535465877598
O2_ptp,0.0011614746490697103
F1_delta_power,0.00115699244610086
CP3_kurtosis,0.0011559666473213983
F1_std,0.001151287823138278
PO8_theta_rel_power,0.0011466151396550112
C3_theta_rel_power,0.0011398412428034227
FC5_min,0.0011349338490296837
FC6_ptp,0.0011333111924900728
C1_alpha_power,0.0011332498468274198
O2_gamma_power,0.0011315095573729166
C4_beta_power,0.001127540455015167
F2_delta_power,0.0011267223714486467
PO1_std,0.0011250579787412576
P7_theta_power,0.00112501904504528
CP6_alpha_power,0.0011239183285854364
CP3_std,0.001123416744056955
AF1_alpha_rel_power,0.001116720095519837
P4_max,0.001114498316089714
CP1_delta_power,0.001100328106248417
AFZ_beta_power,0.001097720666188449
CP1_theta_power,0.0010961410841230995
AF8_delta_rel_power,0.0010945589074708327
C3_mean,0.0010865586859601024
FCZ_alpha_rel_power,0.0010788765945835832
F7_beta_power,0.0010752182439683206
F5_theta_power,0.0010703530065923495
FP2_delta_rel_power,0.0010588855092769991
C6_alpha_power,0.0010424283286650418
FC2_skew,0.001040592153738991
FP1_gamma_rel_power,0.0010057698206023924
F4_gamma_rel_power,0.0010026781128763783
F1_alpha_rel_power,0.0009978972879293232
F7_theta_power,0.000994328961761882
AF8_kurtosis,0.000992909721700829
OZ_ptp,0.000992196908342738
PO2_max,0.0009871439608939805
nd_beta_power,0.000983184390466359
C3_theta_power,0.0009810117777807623
FCZ_theta_rel_power,0.0009800826220685975
FC3_gamma_power,0.0009737321255201393
C6_min,0.000973626663922797
CP2_beta_power,0.0009691893097727682
FT8_gamma_rel_power,0.0009654827971652718
C3_delta_power,0.0009627138456465832
CP4_alpha_power,0.0009626854834513813
F1_ptp,0.0009581927804501046
F8_min,0.0009556273973918049
FP1_quartile_1,0.0009547852669543338
CP4_gamma_power,0.0009487875319049888
P5_beta_rel_power,0.000947164494935996
AF7_gamma_rel_power,0.0009442043582924331
F1_gamma_power,0.000933644537161556
FC6_gamma_rel_power,0.0009322580036696765
F2_alpha_rel_power,0.0009315592985842744
CP2_alpha_rel_power,0.0009308121534789108
P6_delta_power,0.0009284927411989896
CP5_gamma_power,0.0009081119303097174
F8_ptp,0.0009076393375397465
F3_min,0.000905043171704278
POZ_delta_power,0.0008921676939516289
P4_gamma_rel_power,0.0008873942714429568
C4_delta_power,0.0008800011686833448
nd_alpha_rel_power,0.000871063569281689
PZ_quartile_3,0.0008652562294750955
TP8_theta_rel_power,0.0008649598663199765
C6_ptp,0.0008589243344546507
P5_theta_power,0.0008579336293186798
P1_max,0.00085380050643102
FC5_theta_power,0.0008511805411911753
CPZ_beta_power,0.0008502471586618196
C2_max,0.0008379721672879272
C5_gamma_rel_power,0.0008372850913934975
O1_theta_power,0.0008345235912987145
FCZ_median,0.0008343085013948724
P3_max,0.0008289351884391237
P4_beta_rel_power,0.0008249012533261482
F1_quartile_1,0.0008243910602336639
F8_delta_rel_power,0.0008226896637753406
P2_beta_power,0.0008031234908741236
C3_min,0.0007955923813932809
FT7_theta_power,0.0007917548524105283
FP1_std,0.0007909319321294047
F2_delta_rel_power,0.000790110919121603
PZ_gamma_rel_power,0.0007893281871617838
PO8_theta_power,0.0007843822810402316
POZ_gamma_power,0.0007826322151742509
X_gamma_rel_power,0.000778321918771408
